1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
810,3/21/78,7,36,109,S8NCON,12/31/99,A,1.37,10.92,"644,934","85,468","7,283","403,120",0,"394,680","246,022","209,877",0,"92,998","17,000","75,998",0,0,0,"76,280","76,280",0,6,2,0,"273,252","92,998",100,100,0,0,0,100,0,0,0,10,1,1.2,0,80,20,0,0,0,0,
811,8/29/78,862,122,50,S8NCON,12/31/99,A,1.04,2.46,"516,804","57,289","15,211","426,434",0,"492,570","377,881","177,429",0,"74,718","11,472","63,246",0,0,"2,574","57,230","57,230",0,1,4,1,"39,750","77,292",87,87,0,0,0,87,0,0,0,5,0,1.05,0,83,4,0,0,0,0,
812,9/15/75,237,122,50,S8NCON,12/31/99,A,1.06,3.03,"470,272","26,802","17,636","403,107",0,"367,865","338,636","217,268",0,"76,407","16,233","60,174",0,0,0,"61,000","61,000",0,1,6,2,"44,600","76,407",90,90,0,0,0,89,1,0,0,11,0,1.11,0,80,10,0,0,0,0,
813,9/9/76,175,80,39,SEC13A,12/31/99,A,1.3,2.78,"2,433,980","230,187","90,966","1,628,581",0,"1,487,830","881,026","345,566",0,"513,771","6,114","507,657",0,0,0,"443,976","443,976",0,43,4,2,"2,281,523","513,771",441,166,275,0,0,0,441,0,0,22,0,1.96,0,188,124,89,40,0,0,
814,4/15/75,844,122,16,SEC13A,12/31/99,B,1.23,0.82,"606,268","92,164","17,615","404,826",0,"390,028","587,762","111,587",0,"183,277","17,631","165,646","13,444",0,0,"114,444","101,000","13,444",1,7,2,"30,955","196,721",122,43,42,37,0,0,122,0,0,4,0,1.35,0,85,31,6,0,0,0,
815,12/1/98,661,401,68,S8NCON,12/31/99,C,0.72,1.71,"1,540,376","1,176,468","39,504","403,608","47,396","548,151","360,131","38,835",0,"72,403","17,283","55,120",0,0,"1,291","55,334","55,334",0,1,12,2,"33,683","73,694",125,105,0,20,0,100,25,0,0,5,0,1,20,85,20,0,0,0,0,
816,7/21/76,182,85,44,S8SUBR,12/31/99,A,1.1,3.59,"1,242,761","118,201","17,114","1,010,374",0,"826,552","728,554","498,489",0,"197,087","56,049","141,038",0,0,0,"132,150","132,150",0,1,8,3,"129,506","197,087",183,183,0,0,0,183,0,0,0,9,0,1.24,0,139,44,0,0,0,0,
817,1/13/77,797,103,72,S8NCON,12/31/99,A,1.5,2.41,"969,407",0,"52,662","610,186",0,"1,234,883","646,134","133,249",0,"177,023","39,926","137,097",0,0,"3,444","136,828","136,828",0,2,8,4,"131,017","180,467",209,209,0,0,0,209,0,0,0,21,0,1.1,0,189,20,0,0,0,0,
818,7/21/76,547,175,76,S8SUBR,12/31/99,A,1.18,2.92,"305,073","45,319","8,555","213,497",0,"293,670","146,907","46,278",0,"56,065","14,124","41,941",0,0,0,"39,950","39,950",0,1,6,1,"11,186","56,065",61,61,0,0,0,6,55,0,0,3,0,1,6,49,6,0,0,0,0,
823,6/15/76,899,175,71,S8SUBR,12/31/99,F,0.86,0.91,"107,176",0,"6,337","91,163","25,886","101,933","140,275","28,383",0,"40,806",0,"40,806","3,500",0,272,"32,941","30,641","2,300",8,4,0,"14,759","44,578",36,36,0,0,0,0,36,0,0,1,0,2,0,18,6,6,6,0,0,
824,7/24/75,1123,232,5,SEC13A,12/31/99,A,1.38,1.87,"520,051","25,531","40,550","329,661",0,"315,938","246,886","78,000",0,"119,832","27,257","92,575","4,700",0,0,"108,350","103,650","4,700",2,8,2,"65,255","124,532",147,37,110,0,0,147,0,0,0,6,0,1.12,0,130,17,0,0,0,0,
826,6/15/76,1261,80,39,S8NCON,12/31/99,A,2.32,40.22,"416,805",0,"18,234","172,127",0,"1,605,649","82,879","42,954",0,"64,507","12,365","52,142",0,0,0,"54,000","54,000",0,2,4,2,"90,172","64,507",87,87,0,0,0,87,0,0,0,5,0,1.1,0,78,9,0,0,0,0,
827,2/6/79,242,130,22,S8NCON,12/31/99,A,1.81,17.5,"1,025,045","44,295","60,837","506,856",0,"3,465,210","416,721","218,662",0,"135,699","30,902","104,797",0,0,0,"104,585","104,585",0,4,8,4,"104,642","135,699",151,150,0,0,1,134,16,0,1,13,0,1.43,0,114,21,4,12,0,0,
828,6/15/76,1269,89,121,S8SUBR,12/31/99,A,1.49,4.21,"289,517","76,668","8,127","136,992",0,"137,965","67,269","34,513",0,"61,827","11,803","50,024",0,"6,305",0,"40,500","40,500",0,3,5,1,"103,237","68,132",55,55,0,0,0,0,55,0,0,3,0,1.35,0,36,19,0,0,0,0,
830,12/10/98,1045,257,124,S8NCON,12/31/99,A,2.57,3.61,"603,310","10,796","24,181","221,006",0,"555,122","187,206","33,592",0,"64,747",0,"64,747",0,0,0,0,0,0,1,7,2,0,"64,747",95,94,0,0,1,94,1,0,0,12,0,1.13,0,83,12,0,0,0,0,
831,3/10/78,765,147,154,S8NCON,12/31/99,C,0.76,1.84,"809,140","124,000","11,140","889,992",0,"731,161","652,470","255,876",0,"156,000","4,800","151,200",0,0,0,"131,900","131,900",0,9,3,2,"499,241","156,000",164,164,0,0,0,124,40,0,0,15,0,1.49,0,104,40,20,0,0,0,
832,7/9/79,987,257,124,S8NCON,12/31/99,C,0.95,1.07,"686,720","125,725","14,956","574,084",0,"709,024","773,828","113,341",0,"144,127","3,069","141,058","1,824",0,0,"145,909","143,498","2,411",1,7,2,"92,802","145,951",161,161,0,0,0,155,6,0,0,16,0,1.07,0,155,0,6,0,0,0,
833,3/3/78,861,228,51,S8SUBR,12/31/99,A,1.25,2.72,"72,404","8,937","1,285","49,633",0,"117,348","54,275","11,156",0,"18,587",0,"18,587","4,143",0,0,"16,613","12,470","4,143",1,3,0,"16,265","22,730",17,17,0,0,0,17,0,0,0,0,0,1.24,3,7,7,0,0,0,0,
834,3/21/78,391,257,124,S8NCON,12/31/99,A,1.31,4.93,"833,116","135,728","42,188","501,730",0,"580,405","229,264","111,458",0,0,0,0,0,0,0,"173,380","173,380",0,31,2,0,"2,112,660","205,173",200,200,0,0,0,112,88,0,0,20,0,1.64,0,112,56,23,9,0,0,
835,3/21/78,836,64,135,S8SUBR,12/31/99,A,1.39,2.2,"362,697",0,"1,647","259,029",0,"594,046","326,674","56,864",0,"68,975","1,100","67,875","5,625",0,0,"59,510","53,910","5,600",1,7,2,"24,185","74,600",64,64,0,0,0,23,41,0,0,4,0,1.53,0,32,30,2,0,0,0,
836,9/15/75,218,229,15,TCRED4,12/31/99,A,1.05,1.05,"413,704","157,133","11,224","232,650",0,"137,673","195,128","63,904",0,0,0,0,0,0,0,"60,000","60,000",0,1,7,2,"23,573","97,020",100,83,17,0,0,100,0,0,0,5,0,1.01,0,99,1,0,0,0,0,
838,8/27/79,511,138,8,S8NCON,12/31/99,A,1.16,3.15,"1,300,046","80,461","17,622","1,036,169",0,"503,503","710,496","550,702",0,"181,983","34,792","147,191",0,0,"8,071","143,800","143,800",0,8,5,3,"510,958","190,054",194,194,0,0,0,117,77,0,0,12,0,1.45,0,128,50,10,6,0,0,
840,11/20/79,999,152,74,S8NCON,12/31/99,A,1.07,1.64,"357,059","50,333","3,661","284,563",0,"313,331","242,760","51,274",0,"78,084","13,134","64,950",0,0,"3,451","60,831","60,831",0,4,2,1,"95,289","81,535",73,73,0,0,0,0,73,0,0,3,0,1.77,0,29,34,8,2,0,0,
841,4/15/77,371,67,101,S8NCON,12/31/99,A,1.45,10.93,"549,338","24,465","25,724","344,787",0,"1,465,511","256,538","122,503",0,0,0,0,0,0,0,"59,476","59,476",0,1,7,2,"96,900","89,390",96,95,0,1,0,95,1,0,0,6,0,1.27,0,70,26,0,0,0,0,
842,9/15/75,703,148,155,SEC13A,12/31/99,A,1.09,6.63,"80,743","24,482","1,282","50,236",0,"77,193","23,837","12,199",0,"18,334",0,"18,334",0,0,0,"17,603","17,603",0,3,2,0,"44,556","18,334",12,3,9,0,0,0,12,0,0,0,0,3.25,0,0,0,9,3,0,0,
844,8/29/78,233,66,8,S8NCON,12/31/99,A,1.12,2.92,"1,352,865","103,855","22,318","1,098,941",0,"783,568","683,276","415,111",0,0,0,0,0,0,0,"110,130","110,130",0,2,9,4,"77,400","160,080",198,198,0,0,0,198,0,0,0,20,0,1,0,198,0,0,0,0,0,
845,8/29/78,674,148,111,S8NCON,12/31/99,A,1.9,13.87,"1,260,750","10,753","16,569","649,321",0,"578,764","242,005","200,277",0,0,0,0,0,0,0,"92,355","92,355",0,2,5,4,"158,463","135,800",125,125,0,0,0,125,0,0,0,16,0,1.37,0,79,46,0,0,0,0,
851,9/24/79,284,89,114,S8NCON,12/31/99,A,1.15,15.99,"553,243","14,550","8,918","459,941",0,"413,048","296,957","271,130",0,0,0,0,0,0,0,"77,616","77,616",0,1,2,0,"514,008","101,096",120,120,0,0,0,107,13,0,0,13,0,1.15,0,102,18,0,0,0,0,
852,12/21/79,187,257,124,S8SUBR,12/31/99,A,1.61,5.56,"575,573",0,"19,942","345,840",0,"321,061","331,778","274,020",0,"61,738","3,424","58,314","6,185",0,0,"46,449","40,742","5,707",1,6,2,"13,534","67,923",70,70,0,0,0,70,0,0,0,7,0,1.07,0,65,5,0,0,0,0,
853,9/24/79,407,159,73,S8NCON,12/31/99,A,1.43,8.75,"562,908","58,000","57,419","312,346",0,"1,317,006","213,429","62,877",0,"84,941","14,204","70,737",0,0,"5,743","68,072","68,072",0,1,6,2,"71,952","90,684",100,100,0,0,0,81,19,0,0,10,0,1.3,0,76,18,6,0,0,0,
855,4/27/82,428,67,101,S8SUBR,12/31/99,A,1.2,2.93,"766,410","93,500","11,395","549,290",0,"524,457","300,688","121,764",0,"86,054","1,234","84,820",0,0,0,"52,229","52,229",0,5,4,1,"162,493","86,054",86,85,0,1,0,80,6,0,0,7,0,1.17,5,67,8,6,0,0,0,
856,7/19/79,820,257,124,S8SUBR,12/31/99,A,2.37,6.59,"1,352,275",0,"21,592","562,260",0,"2,601,612","626,782","231,723",0,0,0,0,0,0,0,"123,250","123,250",0,6,6,4,"54,491","185,970",183,183,0,0,0,22,161,0,0,9,0,1.03,18,141,24,0,0,0,0,
857,9/27/79,517,229,15,S8SUBR,12/31/99,A,1.09,2.6,"697,384","152,395","22,359","480,802",0,"266,941","248,497","145,971",0,0,0,0,0,0,0,"64,300","64,300",0,1,4,1,"123,295","90,221",94,93,0,0,1,91,3,0,0,10,0,1.15,0,83,8,3,0,0,0,
859,7/2/85,220,122,50,SOFT,12/31/99,A,1.3,4.32,"940,601",0,"6,105","718,362",0,"796,380","313,794","129,508",0,"128,476","2,065","126,411",0,0,0,"82,443","82,443",0,1,7,2,"46,564","128,476",99,25,0,74,0,0,99,0,0,5,0,1.76,0,24,75,0,0,0,0,
862,9/20/79,111,83,75,S8SUBR,12/31/99,B,0.93,2.6,"612,696","135,556","24,439","486,548",0,"276,472","237,929","131,456",0,"78,052","16,110","61,942","14,950","1,806",0,"73,895","58,945","14,950",1,6,1,"33,178","94,808",85,85,0,0,0,85,0,0,0,9,0,1,6,73,6,0,0,0,0,
864,7/9/79,687,104,77,S8NCON,12/31/99,A,1.05,2.15,"402,054","28,831","5,168","349,070",0,"93,391","268,301","224,926",0,0,0,0,0,0,0,"35,268","35,268",0,9,2,0,"118,483","46,728",56,56,0,0,0,56,0,0,0,6,0,1.18,0,46,10,0,0,0,0,
865,9/25/84,730,229,77,SOFT,12/31/99,A,1.1,1.47,"741,665","30,022","11,770","638,082",0,"234,693","280,140","120,409",0,"93,598","14,464","79,134",0,0,"3,732","75,196","75,196",0,3,6,2,"435,600","97,330",100,25,0,75,0,0,100,0,0,5,0,1.41,0,68,23,9,0,0,0,
866,2/23/79,670,148,111,S8NCON,12/31/99,A,3.2,20.41,"574,070","5,388","9,241","174,705",0,"579,670","111,082","82,687",0,"60,420","4,190","56,230",0,0,0,"43,360","43,360",0,3,3,0,0,"60,420",61,60,0,0,1,42,19,0,0,6,0,1.31,0,42,19,0,0,0,0,
868,10/18/82,124,48,95,S8SUBR,12/31/99,A,1.2,5.73,"190,624",0,"2,991","156,313",0,"54,722","41,612","32,065",0,"22,510","5,554","16,956",0,0,0,"17,082","17,082",0,1,4,1,"28,364","22,510",30,30,0,0,0,30,0,0,0,2,0,1.07,0,28,2,0,0,0,0,
869,8/11/82,398,257,124,S8NCON,12/31/99,A,1.1,5.39,"1,108,381","213,219","35,551","782,516",0,"539,672","263,822","163,657",0,"119,043","15,846","103,197",0,0,"2,779","101,635","101,635",0,10,2,0,"1,742,400","121,822",136,136,0,0,0,102,34,0,0,10,0,1.63,0,70,46,20,0,0,0,
871,9/28/79,499,148,111,S8NCON,12/31/99,A,1.62,2.22,"1,078,176","113,712","14,927","585,480",0,"358,485","503,798","342,658",0,0,0,0,0,0,0,"83,590","83,590",0,4,3,0,"687,507","101,672",114,113,0,0,1,114,0,0,0,6,0,1.26,0,84,30,0,0,0,0,
872,3/11/81,769,148,111,S8NCON,12/31/99,A,1.66,2.25,"1,399,346",0,"17,035","831,333",0,"316,866","340,504","199,927",0,"131,894","3,860","128,034",0,0,0,"91,262","91,262",0,2,5,2,"483,080","131,894",130,130,0,0,0,130,0,0,0,12,0,1.29,0,92,38,0,0,0,0,
873,11/7/80,104,290,45,S8SUBR,12/31/99,A,1.41,1.3,"1,034,438","3,625","81,031","672,945",0,"415,232","543,743","223,356",0,0,0,0,0,0,0,"94,020","94,020",0,3,3,3,"705,263","125,280",160,160,0,0,0,160,0,0,0,16,7,1.09,0,145,15,0,0,0,0,
874,4/28/80,116,122,50,S8NCON,12/31/99,A,1.16,3.89,"2,134,537","82,928","59,130","1,713,393",0,"1,128,299","835,525","545,347",0,"238,209","6,074","232,135",0,0,0,"166,226","166,226",0,1,7,3,"157,143","238,209",261,261,0,0,0,260,1,0,0,21,0,1.12,0,229,32,0,0,0,0,
875,11/21/79,160,122,50,S8SUBR,12/31/99,A,1.23,3.08,"1,186,386","139,650","42,356","814,557",0,"796,760","459,582","200,634",0,0,0,0,0,0,0,"105,270","105,270",0,4,4,4,"264,409","152,570",169,169,0,0,0,155,14,0,0,15,0,1.34,0,111,58,0,0,0,0,
876,11/20/81,1142,122,50,S8NCON,12/31/99,A,1.19,6.31,"1,500,094","95,912","44,499","1,147,089",0,"892,776","597,190","455,749",0,"126,816","20,955","105,861",0,0,302,"98,364","98,364",0,1,7,2,"106,362","127,118",161,160,0,0,1,160,1,0,0,16,0,1.13,0,140,21,0,0,0,0,
877,1/9/80,446,122,50,S8SUBR,12/31/99,A,1.46,12.99,"1,725,668","164,504","94,596","1,004,817",0,"2,915,678","406,595","182,191",0,0,0,0,1,0,0,"168,331","168,330",1,2,5,5,"143,355","267,825",230,230,0,0,0,148,82,0,0,19,0,1.44,0,128,102,0,0,0,0,
880,5/28/80,355,229,15,S8NCON,12/31/99,A,1.02,1.2,"776,809","146,588","6,525","609,849",0,"161,731","238,327","103,613",0,0,0,0,0,0,0,"109,340","109,340",0,28,2,0,"2,613,600","119,720",156,156,0,0,0,88,68,0,0,9,0,1.5,0,88,58,10,0,0,0,
881,4/27/82,1186,67,101,S8SUBR,12/31/99,A,1.29,1.36,"1,297,559","97,768","24,313","914,538",0,"675,250","688,394","191,268",0,0,0,0,0,0,0,"96,736","96,736",0,2,5,3,"166,740","144,857",140,139,0,0,1,130,10,0,0,14,0,1.2,0,115,22,3,0,0,0,
882,4/30/80,1218,160,136,S8NCON,12/31/99,A,1.18,3.09,"1,047,351","120,140","28,026","760,638",0,"551,653","269,928","91,500",0,"142,053","8,125","133,928",0,0,0,"97,223","97,223",0,3,6,3,"169,901","142,053",162,162,0,0,0,150,12,0,0,22,0,1.02,38,99,13,8,4,0,0,
883,1/11/80,1187,160,136,S8NCON,12/31/99,A,1.36,1.69,"939,751","136,151","38,583","561,638",0,"733,418","673,120","240,220",0,0,0,0,0,0,0,"90,547","90,547",0,4,8,2,"106,703","139,104",159,159,0,0,0,143,16,0,0,10,0,1.19,0,130,27,2,0,0,0,
884,10/12/79,280,149,156,S8NCON,12/31/99,A,1.14,1.8,"674,965","54,766","16,445","531,493",0,"327,789","340,320","158,710",0,"98,900","2,437","96,463",0,0,0,"65,850","65,850",0,1,6,2,"243,936","98,900",101,100,0,0,1,100,1,0,0,6,0,1.21,0,80,21,0,0,0,0,
888,11/1/83,713,36,109,S8NCON,12/31/99,A,1.05,1.63,"735,467",0,"29,847","669,266",0,"180,742","261,325","150,720",0,"107,304","2,300","105,004",0,0,0,"85,208","85,208",0,3,3,0,"241,888","107,304",104,103,0,0,1,103,1,0,0,11,0,1.17,0,86,18,0,0,0,0,
889,4/4/80,329,36,109,S8SUBR,12/31/99,A,1.27,2.18,"684,782","57,116","19,447","478,490",0,"235,412","185,661","77,484",0,"140,000",0,"140,000",0,0,0,"130,232","130,232",0,13,2,0,"1,235,143","140,000",148,148,0,0,0,0,148,0,0,8,0,1.69,0,64,66,18,0,0,0,
890,10/7/80,322,141,151,S8SUBR,12/31/99,A,1.37,1.92,"227,633","23,300","7,551","144,086",0,"155,444","109,051","27,938",0,0,0,0,0,0,0,"27,750","27,750",0,6,5,1,"18,680","46,035",45,45,0,0,0,9,36,0,0,2,0,1.27,0,33,12,0,0,0,0,
891,10/31/80,539,122,50,S8NCON,12/31/99,A,1.78,4.83,"719,922","64,758","18,778","358,082",0,"505,800","212,221","107,527",0,"61,244","2,362","58,882",0,0,0,"42,416","42,416",0,1,4,2,"56,504","61,244",65,65,0,0,0,65,0,0,0,7,0,1.35,0,42,23,0,0,0,0,
892,6/16/80,1182,148,155,S8SUBR,12/31/99,A,1.21,20.11,"484,064","45,159","19,197","345,926",0,"1,104,704","180,769","125,847",0,0,0,0,0,0,0,"60,831","60,831",0,3,5,2,"130,284","74,356",89,89,0,0,0,73,16,0,0,8,0,1.19,11,53,22,3,0,0,0,
893,11/10/80,961,257,124,S8SUBR,12/31/99,A,1.34,1.56,"523,725","45,612","9,217","350,248",0,"440,957","337,704","55,171",0,0,0,0,0,0,0,"76,640","76,640",0,5,4,2,"49,600","93,610",100,100,0,0,0,77,23,0,0,0,0,1.11,9,71,20,0,0,0,0,
896,1/4/80,1226,149,156,S8SUBR,12/31/99,A,1.25,1.38,"1,025,499","66,358","13,939","755,159",0,"302,985","363,996","144,061",0,0,0,0,0,0,0,"139,760","139,760",0,11,5,4,"93,635","191,750",180,180,0,0,0,57,123,0,0,10,0,1.79,0,69,85,20,6,0,0,
897,10/5/79,360,36,109,S8SUBR,12/31/99,A,1.19,1.63,"271,870","55,628","7,412","175,295",0,"117,005","146,120","74,429",0,"56,749","9,007","47,742","1,215",0,0,"33,161","31,946","1,215",2,5,1,"22,038","57,964",50,50,0,0,0,50,0,0,0,5,0,0.96,5,42,3,0,0,0,0,
898,1/4/80,1230,229,15,S8SUBR,12/31/99,A,1.08,1.51,"731,672","125,816","2,653","556,924",0,"329,469","330,901","112,107",0,0,0,0,0,0,0,"106,250","106,250",0,8,6,0,"122,569","144,670",163,163,0,0,0,90,73,0,0,12,0,1.38,0,113,38,12,0,0,0,
899,11/7/79,257,161,104,S8NCON,12/31/99,A,1.18,3.79,"1,090,399",0,"19,578","905,983",0,"824,101","697,732","476,848","3,420","162,642","2,900","159,742",0,0,0,"117,180","117,180",0,2,6,4,"396,311","162,642",160,160,0,0,0,160,0,0,0,21,0,1.19,0,130,30,0,0,0,0,
900,11/15/79,192,97,67,S8NCON,12/31/99,A,1.11,6.47,"1,861,500","47,704","38,990","1,600,410",0,"1,091,706","736,989","568,320",0,0,0,0,0,0,0,"133,577","133,577",0,1,8,4,"158,956","201,342",202,202,0,0,0,202,0,0,0,20,10,1.12,0,178,24,0,0,0,0,
902,6/13/80,183,97,67,S8SUBR,12/31/99,A,2,18.11,"199,257","3,056","2,491","96,764",0,"778,197","58,165","15,202",0,"32,290",420,"31,870",0,0,0,"20,742","20,742",0,3,3,1,"37,756","32,290",26,26,0,0,0,20,6,0,0,2,0,1.58,0,17,3,6,0,0,0,
903,11/15/79,49,36,109,S8SUBR,12/31/99,A,1.7,12.07,"659,324","54,000","17,766","346,278",0,"1,628,578","205,940","71,065",0,"94,367","4,948","89,419","11,931",0,0,"84,005","72,074","11,931",3,4,1,"70,237","106,298",101,100,0,0,1,87,14,0,0,10,0,1.13,2,84,15,0,0,0,0,
904,3/19/80,89,83,75,S8LMSA,12/31/99,A,1.44,3.37,"566,106","12,024","16,336","373,342",0,"241,614","245,881","174,251",0,"71,236","1,898","69,338","1,800",0,0,"51,381","49,731","1,650",1,4,1,"49,266","73,036",75,75,0,0,0,75,0,0,0,8,4,1.12,0,66,9,0,0,0,0,
905,4/20/82,85,148,111,S8SUBR,12/31/99,B,1.58,0.47,"1,298,477",0,"24,293","808,088",0,"131,126","444,774","165,762",0,"164,848","1,864","162,984",0,0,0,"162,984","162,984",0,26,2,0,"122,023","164,848",150,150,0,0,0,0,150,0,0,0,0,2,0,15,120,15,0,0,0,
907,4/21/82,746,229,77,S8NCON,12/31/99,A,1.25,1.67,"422,455","13,796","14,059","315,175",0,"185,999","179,555","68,445",0,"49,227",0,"49,227",0,0,0,"39,229","39,229",0,2,2,0,"923,036","49,227",58,58,0,0,0,48,10,0,0,7,0,1.4,0,40,13,5,0,0,0,
908,11/18/80,1147,507,41,S8SUBR,12/31/99,A,1.11,2.36,"441,092","98,574","5,929","301,963",0,"846,249","405,664","46,710",0,"82,425","1,005","81,420","3,312",0,0,"55,071","52,189","2,882",3,4,2,"32,233","85,737",71,71,0,0,0,41,30,0,0,6,0,1.21,0,56,15,0,0,0,0,
910,9/19/84,412,113,88,SHARP,12/31/99,D,0.95,0.6,"920,990","43,519","3,420","916,230",0,"201,181","498,751","164,324",0,"153,060","4,500","148,560",0,0,0,"131,198","131,198",0,13,3,2,"696,960","153,060",170,43,0,127,0,60,110,0,0,10,0,1.86,0,60,74,36,0,0,0,
912,10/13/82,603,148,111,S8NCON,12/31/99,A,1.32,1.12,"1,082,060",0,"34,345","795,864",0,"271,581","396,260","154,073",0,0,0,0,0,0,0,"81,289","81,289",0,5,3,1,"1,001,880","109,223",120,120,0,0,0,50,70,0,0,9,0,1.68,0,50,58,12,0,0,0,
915,2/6/81,1161,85,44,S8SUBR,12/31/99,A,1.3,1.92,"312,995","53,127","3,837","196,524",0,"114,902","121,568","61,844",0,0,0,0,0,0,0,"30,757","30,757",0,2,4,0,"42,299","55,410",40,40,0,0,0,40,0,0,0,4,0,1.13,0,35,5,0,0,0,0,
916,1/10/83,118,232,5,S8SUBR,12/31/99,F,0.82,0.64,"662,859","111,480","34,126","628,630",0,"103,649","285,140","123,000",0,"115,295","6,295","109,000",0,0,0,"83,711","83,711",0,2,6,0,"69,833","115,295",125,124,0,0,1,124,1,0,0,6,0,0.99,6,114,5,0,0,0,0,
917,10/9/80,345,59,58,S8SUBR,12/31/99,A,1.21,5.41,"1,068,634","118,756","12,287","777,757",0,"2,041,621","377,411",0,0,"200,665","4,434","196,231",0,0,0,"116,441","116,441",0,11,5,0,"108,529","200,665",173,173,0,0,0,112,61,0,0,13,0,1.46,0,102,63,8,0,0,0,
